size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName
8,0.114209,0.0318575,0.00278974,0.0787599,0.0605273,0.0025363,0.00641894,0.0073216,0.000310183,33,facebook_combined.txt
8,0.119497,0.0319004,0.00270605,0.0839546,0.0617232,0.00250363,0.00860286,0.00913382,0.000337601,29,facebook_combined.txt
16,0.121396,0.039268,0.00349188,0.077528,0.0460579,0.00100899,0.0154643,0.013129,0.000193834,33,facebook_combined.txt
16,0.107837,0.0334575,0.00334263,0.0669146,0.0422616,0.000894785,0.0120304,0.0101678,0.000133514,26,facebook_combined.txt
16,0.11038,0.0346346,0.00341272,0.0674593,0.0429921,0.000997543,0.0117033,0.00999284,0.000159979,35,facebook_combined.txt
16,0.130594,0.0431814,0.00345016,0.0698061,0.043741,0.00101686,0.0123057,0.0109572,0.000187159,35,facebook_combined.txt
16,0.121329,0.0354013,0.00351381,0.0801716,0.0478928,0.00107026,0.0159602,0.0132871,0.00020504,36,facebook_combined.txt
32,0.12319,0.0347259,0.00508428,0.0825837,0.0417671,0.000481367,0.0222652,0.0164363,8.4877e-05,34,facebook_combined.txt
32,0.129995,0.0351131,0.00504684,0.087739,0.043318,0.000488281,0.0243254,0.0179594,8.46386e-05,32,facebook_combined.txt
32,0.118623,0.0345242,0.00513315,0.0783792,0.0393374,0.000461817,0.0211506,0.0158679,7.12872e-05,27,facebook_combined.txt
32,0.128309,0.0344219,0.00511503,0.0880933,0.0434618,0.000485897,0.024498,0.0179832,8.32081e-05,31,facebook_combined.txt
32,0.124557,0.0350866,0.00525975,0.083324,0.0416257,0.000482559,0.0226166,0.0169489,9.60827e-05,35,facebook_combined.txt
64,0.193928,0.0394809,0.00816464,0.143919,0.057658,0.000311613,0.0515258,0.0326414,4.76837e-05,34,facebook_combined.txt
64,0.213404,0.0397739,0.00877261,0.162957,0.0622253,0.000344276,0.0603964,0.0381095,6.03199e-05,33,facebook_combined.txt
64,0.200213,0.047631,0.00815034,0.140563,0.0562539,0.000338078,0.0496395,0.0324717,4.98295e-05,36,facebook_combined.txt
64,0.184981,0.0415013,0.00864887,0.133524,0.0542672,0.000317097,0.0468662,0.0303216,4.43459e-05,34,facebook_combined.txt
64,0.197192,0.0414152,0.00843716,0.146195,0.0568004,0.000324011,0.0532985,0.0339899,5.96046e-05,29,facebook_combined.txt
1,3.00675,0.0593338,0.00132561,2.94129,2.13977,0.750735,0.000605583,0.00762653,0.0286975,1228,Wiki-Vote.txt
1,2.90948,0.0371935,0.00104618,2.86649,2.09037,0.728571,0.000568867,0.00707078,0.0268123,1230,Wiki-Vote.txt
1,2.86259,0.0384264,0.00131965,2.81822,2.06024,0.711896,0.000551939,0.00680375,0.0261574,1231,Wiki-Vote.txt
2,1.22157,0.0372286,0.0026176,1.17544,0.89642,0.1959,0.0078299,0.0453234,0.016396,1225,Wiki-Vote.txt
2,1.23425,0.0399327,0.00229669,1.18779,0.900632,0.205284,0.007447,0.0407069,0.019172,1231,Wiki-Vote.txt
2,1.18828,0.0413241,0.00232029,1.1414,0.878115,0.198911,0.00352526,0.0352509,0.014396,1226,Wiki-Vote.txt
2,1.17368,0.0374517,0.00242472,1.13062,0.872077,0.188842,0.0082233,0.0332639,0.0159132,1222,Wiki-Vote.txt
2,1.1651,0.0370684,0.00232029,1.12313,0.876288,0.179201,0.00652862,0.0361211,0.0140479,1228,Wiki-Vote.txt
4,0.405489,0.0369294,0.00278521,0.364208,0.28918,0.040072,0.00316048,0.0201328,0.00512695,1236,Wiki-Vote.txt
4,0.420352,0.0369232,0.00249338,0.379425,0.291766,0.0430424,0.00539303,0.0247235,0.0063231,1235,Wiki-Vote.txt
4,0.420032,0.0372462,0.00255895,0.378369,0.289432,0.0439153,0.0051477,0.0249393,0.00647283,1226,Wiki-Vote.txt
4,0.438915,0.0396433,0.00290346,0.394337,0.30046,0.0465767,0.00498462,0.0263951,0.00665689,1226,Wiki-Vote.txt
4,0.417382,0.0376236,0.0028398,0.375284,0.292106,0.0430694,0.00393057,0.022496,0.00588703,1235,Wiki-Vote.txt
8,0.202832,0.0446227,0.00346136,0.148434,0.112213,0.0111156,0.00381017,0.012459,0.00263739,1238,Wiki-Vote.txt
8,0.19684,0.0386922,0.0032208,0.1539,0.113702,0.0115352,0.0044899,0.0142431,0.00311017,1237,Wiki-Vote.txt
8,0.19968,0.0391691,0.00321436,0.156291,0.113391,0.0120854,0.00485635,0.0151353,0.00335693,1234,Wiki-Vote.txt
8,0.202258,0.0373244,0.00296903,0.160644,0.112407,0.0119331,0.00677872,0.0179439,0.00327849,1230,Wiki-Vote.txt
8,0.205737,0.0430238,0.00304508,0.155145,0.110609,0.0123413,0.00526714,0.0154424,0.0034194,1232,Wiki-Vote.txt
16,0.132309,0.0401056,0.00390697,0.0845428,0.0563037,0.00317955,0.0065279,0.0109808,0.00166869,1233,Wiki-Vote.txt
16,0.132971,0.0399606,0.00404668,0.0881584,0.0583136,0.00335598,0.00710368,0.0112696,0.00162339,1241,Wiki-Vote.txt
16,0.13336,0.0392041,0.00390267,0.089375,0.0579386,0.00330162,0.00778461,0.0122168,0.00157499,1229,Wiki-Vote.txt
16,0.13424,0.0405011,0.00400043,0.0876791,0.0584064,0.00326991,0.00690126,0.0112395,0.00139356,1240,Wiki-Vote.txt
16,0.128862,0.0399771,0.00374579,0.0843527,0.056993,0.00328302,0.00614142,0.0102975,0.00146747,1240,Wiki-Vote.txt
32,0.131583,0.0413675,0.00537205,0.0838573,0.0460892,0.00124288,0.0144935,0.0141537,0.000805616,1238,Wiki-Vote.txt
32,0.146563,0.0430532,0.00543118,0.0954006,0.0496316,0.00131345,0.0181522,0.0172968,0.00094223,1235,Wiki-Vote.txt
32,0.134971,0.0404217,0.00555205,0.0881968,0.0476031,0.00125957,0.0156345,0.0154459,0.000863314,1241,Wiki-Vote.txt
32,0.145787,0.0451198,0.00544238,0.0946145,0.0503085,0.00127959,0.0172527,0.0168476,0.000851154,1241,Wiki-Vote.txt
32,0.123584,0.0408456,0.00545478,0.0763254,0.0432539,0.0011723,0.0124326,0.0123131,0.000770807,1235,Wiki-Vote.txt
64,0.180021,0.0464072,0.00914598,0.123635,0.0563893,0.000660896,0.0323915,0.02544,0.00045681,1239,Wiki-Vote.txt
64,0.150184,0.0405996,0.00872898,0.100333,0.0504286,0.000528574,0.023695,0.0192456,0.000395775,1237,Wiki-Vote.txt
64,0.168116,0.0505495,0.00928736,0.107603,0.0503459,0.000617504,0.0282383,0.0206418,0.000459194,1239,Wiki-Vote.txt
64,0.158873,0.0445936,0.00915074,0.104489,0.0500302,0.00059104,0.0257542,0.0207319,0.00040555,1234,Wiki-Vote.txt
64,0.192822,0.0461006,0.00903225,0.136855,0.0588562,0.000709534,0.0376143,0.0300446,0.000552893,1232,Wiki-Vote.txt
1,2.84536,0.0306799,0.00102448,2.80958,1.64256,1.11355,0.000483751,0.0046885,0.0378902,22,p2p-Gnutella04.txt
1,2.86728,0.0148392,0.000864029,2.84876,1.6735,1.12086,0.000541925,0.00478363,0.0385232,31,p2p-Gnutella04.txt
1,2.82618,0.0153654,0.00110388,2.80524,1.6344,1.11691,0.000456333,0.00476551,0.0381963,28,p2p-Gnutella04.txt
2,1.09693,0.0151339,0.00206304,1.07782,0.749556,0.282001,0.00559282,0.0112669,0.0201273,29,p2p-Gnutella04.txt
2,1.08238,0.0167744,0.00196791,1.06154,0.734002,0.279991,0.00694704,0.0113978,0.0200262,32,p2p-Gnutella04.txt
2,1.08386,0.0150292,0.00196886,1.06453,0.736514,0.28184,0.00590777,0.0112209,0.0199463,26,p2p-Gnutella04.txt
2,1.08548,0.0154064,0.00205398,1.06611,0.737853,0.280061,0.00739527,0.0113189,0.0201938,34,p2p-Gnutella04.txt
2,1.0959,0.0152426,0.00209618,1.07628,0.745116,0.283677,0.00641632,0.011631,0.0201859,30,p2p-Gnutella04.txt
4,0.429588,0.015187,0.00202227,0.411089,0.296049,0.0723464,0.00631356,0.01736,0.0105379,27,p2p-Gnutella04.txt
4,0.431245,0.0154243,0.0019784,0.412578,0.297211,0.071768,0.00712919,0.0175743,0.0104506,24,p2p-Gnutella04.txt
4,0.429703,0.015753,0.00208378,0.41056,0.295593,0.071594,0.00671339,0.0177596,0.0104308,24,p2p-Gnutella04.txt
4,0.430624,0.0149367,0.00195432,0.411602,0.296762,0.0719891,0.00629473,0.0177639,0.0103366,27,p2p-Gnutella04.txt
4,0.421537,0.0147831,0.00177097,0.403702,0.289813,0.0719175,0.0065012,0.0166667,0.010427,27,p2p-Gnutella04.txt
8,0.216864,0.0150003,0.00210142,0.198462,0.1386,0.0182879,0.0101659,0.0178704,0.00540137,27,p2p-Gnutella04.txt
8,0.217615,0.0167043,0.00221205,0.197816,0.138667,0.0183008,0.00966501,0.0176313,0.00537276,27,p2p-Gnutella04.txt
8,0.215828,0.0156264,0.00225282,0.195631,0.136277,0.0186129,0.00939965,0.0174584,0.00553012,25,p2p-Gnutella04.txt
8,0.219423,0.0166748,0.00232315,0.198528,0.138141,0.0191042,0.00932431,0.0177653,0.00567079,21,p2p-Gnutella04.txt
8,0.219153,0.017029,0.00244403,0.198254,0.137756,0.0190246,0.00977802,0.0175991,0.00562263,28,p2p-Gnutella04.txt
16,0.154541,0.0160394,0.00310707,0.134819,0.0842748,0.00508475,0.015394,0.0187464,0.00305533,22,p2p-Gnutella04.txt
16,0.158609,0.016439,0.00319147,0.137927,0.0870433,0.00503612,0.0159161,0.0185735,0.00303888,28,p2p-Gnutella04.txt
16,0.15483,0.0165205,0.00315928,0.134348,0.0848646,0.00525188,0.0148776,0.0174782,0.00334978,27,p2p-Gnutella04.txt
16,0.155121,0.0160489,0.00327539,0.135242,0.0846879,0.00525761,0.0153768,0.0181875,0.00322413,25,p2p-Gnutella04.txt
16,0.155242,0.0155377,0.00315881,0.135774,0.084765,0.00508428,0.0157728,0.0187893,0.00311708,25,p2p-Gnutella04.txt
32,0.147093,0.0163357,0.00492406,0.125341,0.0639322,0.00165486,0.0268364,0.0226972,0.00179005,22,p2p-Gnutella04.txt
32,0.152748,0.0162814,0.0051198,0.130866,0.067034,0.00168872,0.028574,0.0234718,0.00178242,26,p2p-Gnutella04.txt
32,0.15239,0.0163023,0.00491762,0.130692,0.0660915,0.00170112,0.0290699,0.0238168,0.00178003,23,p2p-Gnutella04.txt
32,0.151593,0.0162811,0.00513315,0.129704,0.065979,0.00168061,0.02827,0.0237172,0.00181699,24,p2p-Gnutella04.txt
32,0.148038,0.0162864,0.00508571,0.126101,0.0635719,0.00167155,0.0274308,0.0233378,0.00178552,19,p2p-Gnutella04.txt
64,0.220076,0.017081,0.0111582,0.191106,0.0754304,0.000677347,0.0589707,0.0466268,0.00107551,24,p2p-Gnutella04.txt
64,0.215092,0.0181165,0.0088129,0.187387,0.0757668,0.000745296,0.0608311,0.0396807,0.00108624,34,p2p-Gnutella04.txt
64,0.225612,0.0180368,0.00899458,0.197547,0.0833876,0.00078845,0.0622263,0.040704,0.00120449,26,p2p-Gnutella04.txt
64,0.211312,0.0200789,0.00890255,0.181362,0.0724244,0.00076437,0.0581601,0.0393269,0.00116897,23,p2p-Gnutella04.txt
64,0.210163,0.0179505,0.00911593,0.182228,0.0738173,0.000908136,0.0573266,0.0398161,0.0013001,27,p2p-Gnutella04.txt
1,1.03902,0.0213709,0.000727177,1.01437,0.558354,0.423382,0.000767946,0.00386763,0.019964,25,p2p-Gnutella08.txt
1,1.02072,0.00804496,0.000745773,1.01034,0.557873,0.421705,0.000531912,0.00336099,0.0194805,27,p2p-Gnutella08.txt
1,1.02543,0.00789714,0.000626326,1.01485,0.561659,0.422702,0.000491619,0.00322151,0.0195773,33,p2p-Gnutella08.txt
2,0.42285,0.00878572,0.00159407,0.410232,0.267147,0.107266,0.00656271,0.012146,0.0102973,21,p2p-Gnutella08.txt
2,0.413275,0.00824404,0.00162935,0.402184,0.262908,0.107081,0.00504422,0.0104663,0.0100684,23,p2p-Gnutella08.txt
2,0.408886,0.00810504,0.00151896,0.398293,0.260381,0.107143,0.00465631,0.00976539,0.0100029,21,p2p-Gnutella08.txt
2,0.423166,0.0127332,0.00145483,0.406417,0.267805,0.107632,0.00463986,0.00997972,0.0100999,24,p2p-Gnutella08.txt
2,0.424757,0.011652,0.00155926,0.407358,0.267902,0.107535,0.00518084,0.0100148,0.010263,27,p2p-Gnutella08.txt
4,0.192754,0.00846148,0.00166392,0.181756,0.122097,0.0275259,0.00658703,0.0140893,0.00553727,25,p2p-Gnutella08.txt
4,0.194269,0.00857091,0.00161195,0.183038,0.123523,0.0273509,0.00677299,0.0141032,0.00540042,28,p2p-Gnutella08.txt
4,0.200116,0.00929046,0.00159287,0.187628,0.126931,0.0271404,0.00737286,0.0152607,0.0051434,24,p2p-Gnutella08.txt
4,0.199079,0.00830483,0.00160694,0.188122,0.127161,0.0273206,0.00755596,0.0149562,0.00530791,28,p2p-Gnutella08.txt
4,0.197163,0.00839067,0.00152683,0.18625,0.125382,0.0272076,0.00731587,0.0152586,0.00529623,23,p2p-Gnutella08.txt
8,0.128447,0.00832272,0.00214458,0.11717,0.0739129,0.0074625,0.0112965,0.0158002,0.00290656,30,p2p-Gnutella08.txt
8,0.126137,0.00942779,0.00197053,0.11368,0.0714247,0.00699449,0.0112579,0.0158262,0.00277734,25,p2p-Gnutella08.txt
8,0.124124,0.00837088,0.00208879,0.113029,0.0707374,0.00739288,0.0107801,0.0152822,0.00303125,26,p2p-Gnutella08.txt
8,0.125948,0.00800776,0.00201082,0.115314,0.0729711,0.00723624,0.0111678,0.0153224,0.00297666,26,p2p-Gnutella08.txt
8,0.127146,0.00883794,0.00207138,0.115644,0.0724308,0.0069468,0.0118279,0.0163109,0.0027597,17,p2p-Gnutella08.txt
16,0.114268,0.00870013,0.00277615,0.102016,0.0547688,0.00227714,0.019146,0.018652,0.00158048,23,p2p-Gnutella08.txt
16,0.114857,0.00863481,0.00280118,0.102798,0.0542579,0.00230312,0.0197897,0.0192168,0.00156116,19,p2p-Gnutella08.txt
16,0.114108,0.00829434,0.00276423,0.102308,0.0546584,0.00231814,0.0193305,0.0186868,0.00163102,24,p2p-Gnutella08.txt
16,0.114873,0.00859499,0.00282478,0.102925,0.0543675,0.00237513,0.0196445,0.0190878,0.00166869,24,p2p-Gnutella08.txt
16,0.115113,0.00856805,0.00274992,0.103263,0.0547459,0.00234246,0.0197027,0.0190332,0.00162935,23,p2p-Gnutella08.txt
32,0.134953,0.010004,0.00445604,0.119347,0.0501566,0.000896931,0.0346849,0.0270169,0.000897408,21,p2p-Gnutella08.txt
32,0.13862,0.00884557,0.00425839,0.124134,0.0531902,0.000926733,0.0360456,0.0273132,0.000915527,24,p2p-Gnutella08.txt
32,0.137602,0.00861549,0.00446415,0.123994,0.0515785,0.000915051,0.0364611,0.0284066,0.000923634,19,p2p-Gnutella08.txt
32,0.138465,0.008636,0.00439429,0.12493,0.0545628,0.000962496,0.0355551,0.0271251,0.0009377,30,p2p-Gnutella08.txt
32,0.135942,0.00861287,0.00423932,0.12212,0.0529113,0.000964165,0.0349624,0.0266426,0.000953197,26,p2p-Gnutella08.txt
64,0.230011,0.0100641,0.00806689,0.211293,0.0750976,0.000502825,0.0770884,0.0515494,0.000643492,23,p2p-Gnutella08.txt
64,0.224475,0.00957394,0.00751829,0.20562,0.0734625,0.000532627,0.0744855,0.0500255,0.000644684,27,p2p-Gnutella08.txt
64,0.230463,0.0114031,0.00780869,0.209018,0.0724797,0.000526905,0.0750847,0.0539086,0.000701666,23,p2p-Gnutella08.txt
64,0.223362,0.00966382,0.00788164,0.205109,0.072283,0.000494242,0.0755663,0.0499465,0.000636339,23,p2p-Gnutella08.txt
64,0.508126,0.0125313,0.0101292,0.480262,0.0864975,0.000530481,0.331877,0.0543563,0.000602007,25,p2p-Gnutella08.txt
1,1.73829,0.0540626,0.000905752,1.68106,0.9281,0.702457,0.00103116,0.00547123,0.0327225,36,p2p-Gnutella09.txt
1,1.68815,0.0108175,0.000844955,1.67432,0.92439,0.701088,0.000974178,0.00526285,0.0318282,29,p2p-Gnutella09.txt
1,1.70216,0.0100768,0.000689745,1.68913,0.929058,0.707903,0.00122046,0.00603843,0.0331602,33,p2p-Gnutella09.txt
2,0.686411,0.0113583,0.00194812,0.67011,0.437855,0.180037,0.0101781,0.0159907,0.0166316,34,p2p-Gnutella09.txt
2,0.676382,0.0125494,0.00172329,0.657944,0.433815,0.179433,0.00645876,0.0131912,0.0162463,34,p2p-Gnutella09.txt
2,0.684252,0.00996757,0.00159192,0.671142,0.43803,0.179907,0.010282,0.0170748,0.0164943,29,p2p-Gnutella09.txt
2,0.674224,0.0114896,0.00168324,0.659236,0.43535,0.179767,0.00681567,0.0124979,0.0162158,36,p2p-Gnutella09.txt
2,0.670706,0.0104399,0.00171113,0.65706,0.432518,0.178748,0.00715494,0.0136189,0.0161927,35,p2p-Gnutella09.txt
4,0.296629,0.0106931,0.00172377,0.28097,0.191755,0.045928,0.00849342,0.0186012,0.00835967,30,p2p-Gnutella09.txt
4,0.294835,0.00988483,0.00162911,0.281218,0.190266,0.0462248,0.00958467,0.0189221,0.00837231,34,p2p-Gnutella09.txt
4,0.2969,0.00996637,0.00169253,0.283674,0.192689,0.0457976,0.00907159,0.0200016,0.00830293,30,p2p-Gnutella09.txt
4,0.293276,0.0100758,0.00194263,0.280183,0.189983,0.0468149,0.00826216,0.0181813,0.00870466,35,p2p-Gnutella09.txt
4,0.293918,0.0108998,0.00172138,0.280032,0.190259,0.0462883,0.00873923,0.0187089,0.00822735,27,p2p-Gnutella09.txt
8,0.172167,0.0105438,0.00208902,0.15757,0.0993779,0.0124686,0.0132642,0.020081,0.00462866,31,p2p-Gnutella09.txt
8,0.172557,0.00964689,0.00197887,0.160364,0.103149,0.0117815,0.0135467,0.0200071,0.00445867,36,p2p-Gnutella09.txt
8,0.172246,0.0101378,0.00210738,0.158584,0.100816,0.0121272,0.0131891,0.0200408,0.00471258,34,p2p-Gnutella09.txt
8,0.172046,0.0102007,0.00213337,0.158893,0.101285,0.0124493,0.0128334,0.0197721,0.004704,32,p2p-Gnutella09.txt
8,0.170372,0.00983477,0.00212336,0.157838,0.0999002,0.0120983,0.0133998,0.0200543,0.00467134,34,p2p-Gnutella09.txt
16,0.146421,0.0100431,0.00286269,0.132882,0.0717351,0.00343418,0.0238979,0.023797,0.00243235,32,p2p-Gnutella09.txt
16,0.145222,0.0108008,0.0029192,0.129638,0.0692446,0.0036881,0.0229857,0.0232735,0.00266314,30,p2p-Gnutella09.txt
16,0.143368,0.0104294,0.0029583,0.129523,0.0704045,0.00359035,0.0224676,0.0228739,0.00256085,30,p2p-Gnutella09.txt
16,0.144722,0.0106568,0.00295901,0.129668,0.0702798,0.00364256,0.0223911,0.0229363,0.00264406,31,p2p-Gnutella09.txt
16,0.141613,0.0103967,0.00295711,0.127774,0.0689437,0.00361109,0.0223856,0.0225699,0.00255895,25,p2p-Gnutella09.txt
32,0.163969,0.010452,0.00452399,0.148491,0.0656626,0.00135779,0.0412207,0.0312688,0.00140595,29,p2p-Gnutella09.txt
32,0.166715,0.0120621,0.00447798,0.147496,0.0643194,0.00124192,0.0412757,0.0317647,0.00133681,27,p2p-Gnutella09.txt
32,0.163257,0.0112133,0.00470042,0.146841,0.0640523,0.00133538,0.0410676,0.0314648,0.00140214,28,p2p-Gnutella09.txt
32,0.167101,0.0114837,0.00464678,0.150202,0.0666213,0.00140882,0.0408401,0.0315144,0.00151753,33,p2p-Gnutella09.txt
32,0.16452,0.0105402,0.00444603,0.149015,0.0669696,0.00126743,0.0402877,0.0315204,0.00136089,34,p2p-Gnutella09.txt
64,0.267044,0.0116155,0.00791836,0.246902,0.0868208,0.000609159,0.0916114,0.0584965,0.000883341,32,p2p-Gnutella09.txt
64,0.268628,0.0122242,0.00849009,0.24726,0.087214,0.000608444,0.0903287,0.0596285,0.000882387,27,p2p-Gnutella09.txt
64,0.273993,0.0132592,0.00862432,0.251187,0.0917239,0.00061059,0.0903709,0.0590138,0.000902891,26,p2p-Gnutella09.txt
64,0.292783,0.0174546,0.00828576,0.26052,0.0914853,0.000645638,0.0980933,0.060899,0.000852108,23,p2p-Gnutella09.txt
64,0.260119,0.0116971,0.00820541,0.239532,0.0843563,0.000612259,0.0876255,0.0578127,0.000845432,27,p2p-Gnutella09.txt
1,16.6163,0.050204,0.00179148,16.559,9.0847,7.1365,0.00106931,0.0162876,0.285737,62,p2p-Gnutella25.txt
1,16.8558,0.0212243,0.00182271,16.7875,9.1793,7.27241,0.000952959,0.0156279,0.285255,64,p2p-Gnutella25.txt
1,16.3602,0.0211055,0.00159216,16.3323,8.93826,7.05667,0.00102615,0.0154099,0.287032,60,p2p-Gnutella25.txt
2,5.23697,0.0210826,0.0030508,5.20925,3.30214,1.67614,0.0133216,0.0390813,0.147429,64,p2p-Gnutella25.txt
