size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName
1,0.0970116,0.023695,0.000552893,0.0508788,0.0380905,0.00963378,0.000201941,0.000554562,0.00137496,47,email-Eu-core.txt
1,0.0657699,0.0114954,0.000525713,0.0506942,0.0381572,0.00954866,0.000189066,0.000533819,0.00129318,44,email-Eu-core.txt
1,0.0668578,0.0102322,0.000491381,0.051821,0.0380137,0.0100501,0.000303507,0.00074172,0.00150681,42,email-Eu-core.txt
2,0.0428424,0.00941062,0.00144029,0.0311131,0.0235062,0.00291252,0.00139809,0.00179124,0.000726938,48,email-Eu-core.txt
2,0.0535774,0.00968361,0.0014298,0.041528,0.0284111,0.00319433,0.00354338,0.00444508,0.00087142,42,email-Eu-core.txt
2,0.0466955,0.0096662,0.00131178,0.0349104,0.0256314,0.00282979,0.00213885,0.00277424,0.00074482,42,email-Eu-core.txt
2,0.0448031,0.0099895,0.00121641,0.0327981,0.0248389,0.0027492,0.00159383,0.00211501,0.000768423,43,email-Eu-core.txt
2,0.0472009,0.00993657,0.00118136,0.0343766,0.0258639,0.00287795,0.00181699,0.00231481,0.000744343,48,email-Eu-core.txt
4,0.0333991,0.00936794,0.00149775,0.021786,0.0159662,0.00099206,0.0018959,0.00195956,0.000387907,46,email-Eu-core.txt
4,0.0356398,0.0100162,0.00144863,0.0220723,0.0159047,0.0010519,0.00196147,0.00216126,0.000353098,50,email-Eu-core.txt
4,0.0365815,0.0102079,0.00160837,0.0229509,0.0166166,0.0010457,0.00200534,0.00216317,0.000494003,54,email-Eu-core.txt
4,0.0371082,0.010915,0.00155926,0.0233343,0.0167804,0.00102067,0.0021863,0.00227928,0.000455379,51,email-Eu-core.txt
4,0.0416403,0.0117881,0.00145698,0.0232086,0.016659,0.00105047,0.00215936,0.00230503,0.000417709,53,email-Eu-core.txt
8,0.0314953,0.00960875,0.00186896,0.0190558,0.0129647,0.000445366,0.00255513,0.00223994,0.000305414,50,email-Eu-core.txt
8,0.0356741,0.0103827,0.00192094,0.0214427,0.0142024,0.000464201,0.00322843,0.00276279,0.000196934,51,email-Eu-core.txt
8,0.0323749,0.00991917,0.00188756,0.0193634,0.0131452,0.000445127,0.00267601,0.00228238,0.000254393,49,email-Eu-core.txt
8,0.0338054,0.00922728,0.00185156,0.0222206,0.0144124,0.000471115,0.00358176,0.00297713,0.000192881,46,email-Eu-core.txt
8,0.0292633,0.00911379,0.00181818,0.0178778,0.0124154,0.000436306,0.0022831,0.00194168,0.000240326,54,email-Eu-core.txt
16,0.0380344,0.0100796,0.00260711,0.0249047,0.014715,0.000280857,0.0052588,0.00382829,0.000171423,55,email-Eu-core.txt
16,0.0344238,0.0102143,0.00256467,0.0212405,0.0131161,0.000269651,0.00406718,0.00302601,0.000180006,52,email-Eu-core.txt
16,0.0325713,0.0101006,0.00256538,0.0194151,0.0124691,0.000234604,0.00360727,0.00247145,0.000120401,45,email-Eu-core.txt
16,0.0338008,0.0101135,0.00247073,0.0206404,0.0128448,0.000264168,0.00400972,0.00281096,0.000147104,55,email-Eu-core.txt
16,0.0336485,0.00981736,0.00249314,0.0205758,0.0129318,0.000253677,0.00391483,0.00276399,0.000162125,51,email-Eu-core.txt
32,0.044203,0.0111241,0.00407672,0.0283844,0.0152977,0.000211954,0.00748348,0.00475144,8.89301e-05,49,email-Eu-core.txt
32,0.0508494,0.0103714,0.00396872,0.034533,0.0173471,0.000189781,0.00998712,0.00635052,7.43866e-05,48,email-Eu-core.txt
32,0.0457776,0.0114944,0.00397992,0.0290926,0.015697,0.000172615,0.00776005,0.00483227,8.41618e-05,56,email-Eu-core.txt
32,0.0433149,0.0101953,0.00388575,0.0286126,0.0152817,0.000205994,0.0076313,0.00485444,0.000105143,49,email-Eu-core.txt
32,0.0409939,0.0107093,0.0039165,0.025919,0.0145464,0.000176907,0.006598,0.00398207,8.44002e-05,46,email-Eu-core.txt
64,0.0834558,0.012924,0.00707865,0.0619001,0.0225718,0.000135899,0.0203004,0.0181396,0.000103235,47,email-Eu-core.txt
64,0.0735767,0.011286,0.00697732,0.0548165,0.0233526,0.000153065,0.0201955,0.0104206,8.63075e-05,51,email-Eu-core.txt
64,0.0689979,0.0118477,0.00682616,0.0491855,0.0215111,0.000118017,0.0179858,0.00891852,6.67572e-05,54,email-Eu-core.txt
64,0.067893,0.0115871,0.00687623,0.0488772,0.0214307,0.00033021,0.0177121,0.00871634,6.7234e-05,56,email-Eu-core.txt
64,0.0625799,0.0113416,0.00703835,0.0436099,0.0197964,0.000116587,0.0152764,0.00777578,7.77245e-05,52,email-Eu-core.txt
1,1.08994,0.0455594,0.00100613,1.03922,0.912932,0.120155,0.000306129,0.00122857,0.00221944,33,facebook_combined.txt
1,1.07568,0.0318098,0.000961781,1.03952,0.913835,0.119796,0.000286579,0.0011735,0.00215483,34,facebook_combined.txt
1,1.07684,0.0319283,0.000979662,1.03969,0.913019,0.120329,0.000311375,0.00126719,0.00237775,37,facebook_combined.txt
2,0.425263,0.0326157,0.00206327,0.387125,0.344773,0.0317211,0.00310731,0.00432348,0.00128007,34,facebook_combined.txt
2,0.421772,0.0311007,0.0019989,0.386873,0.344965,0.0316978,0.00295687,0.00411367,0.00117469,34,facebook_combined.txt
2,0.426653,0.0329609,0.00201464,0.389172,0.346106,0.0317574,0.00367212,0.00439787,0.00128746,39,facebook_combined.txt
2,0.431484,0.0334151,0.00219679,0.391699,0.347846,0.0319691,0.00362229,0.00475931,0.00149965,38,facebook_combined.txt
2,0.4244,0.0313451,0.00198507,0.389197,0.346092,0.0315633,0.00399494,0.00436091,0.00126481,33,facebook_combined.txt
4,0.195209,0.032279,0.00205517,0.157363,0.135613,0.00851917,0.0048058,0.00590539,0.000790358,36,facebook_combined.txt
4,0.195043,0.0335228,0.00219464,0.157754,0.134484,0.00892472,0.0050056,0.00656176,0.000817299,43,facebook_combined.txt
4,0.187309,0.0313785,0.00201869,0.152594,0.131318,0.0084734,0.00457048,0.00584126,0.000677824,32,facebook_combined.txt
4,0.184523,0.0309815,0.00227809,0.1498,0.129207,0.00850224,0.00420427,0.00550842,0.000646353,33,facebook_combined.txt
4,0.186773,0.0318191,0.00219464,0.150553,0.129682,0.00851059,0.00427222,0.00567389,0.000695944,34,facebook_combined.txt
8,0.117053,0.0343745,0.00297308,0.0787663,0.0605626,0.00256324,0.00642991,0.00717831,0.000348806,37,facebook_combined.txt
8,0.113739,0.0316341,0.00259018,0.0787177,0.0600336,0.00246429,0.00680566,0.00754952,0.000290871,31,facebook_combined.txt
8,0.119837,0.0335307,0.00294375,0.0791464,0.0602522,0.00264382,0.00648427,0.00767684,0.000371218,35,facebook_combined.txt
