size,totalTime,partitionTime,detectionTime,foundCommunities,fileName
8,0.0393014,0.00248337,0.036818,28,1138_bus.txt
8,0.0398083,0.00239539,0.0374129,26,1138_bus.txt
8,0.0407894,0.00263381,0.0381556,27,1138_bus.txt
8,0.0411985,0.00296545,0.038233,31,1138_bus.txt
8,0.0409815,0.00246406,0.0385175,28,1138_bus.txt
8,0.0413618,0.00246358,0.0388982,29,1138_bus.txt
8,0.0423489,0.00264692,0.0397019,27,1138_bus.txt
8,0.0385129,0.00250363,0.0360093,27,1138_bus.txt
8,0.0428338,0.00253367,0.0403001,27,1138_bus.txt
16,0.0512476,0.00259328,0.0486543,28,1138_bus.txt
16,0.0509686,0.00253844,0.0484302,27,1138_bus.txt
16,0.0528729,0.00292206,0.0499508,29,1138_bus.txt
16,0.053194,0.00463343,0.0485606,27,1138_bus.txt
16,0.050894,0.00267625,0.0482178,26,1138_bus.txt
16,0.0508351,0.00267673,0.0481584,28,1138_bus.txt
16,0.0532753,0.00337768,0.0498977,28,1138_bus.txt
16,0.0570948,0.0082159,0.0488789,28,1138_bus.txt
16,0.0537641,0.00261235,0.0511518,29,1138_bus.txt
16,0.0478818,0.00267768,0.0452042,26,1138_bus.txt
32,0.0645287,0.00398111,0.0605476,28,1138_bus.txt
32,0.0639539,0.00312519,0.0608287,26,1138_bus.txt
32,0.0633419,0.00296807,0.0603738,27,1138_bus.txt
32,0.0642371,0.00295854,0.0612786,30,1138_bus.txt
32,0.0638666,0.00298595,0.0608807,27,1138_bus.txt
32,0.0654068,0.00454783,0.060859,30,1138_bus.txt
32,0.0659678,0.00338817,0.0625796,29,1138_bus.txt
32,0.0654564,0.00277925,0.0626771,30,1138_bus.txt
32,0.0635762,0.003932,0.0596442,27,1138_bus.txt
32,0.0640614,0.00320554,0.0608559,28,1138_bus.txt
64,0.114454,0.00412703,0.110327,26,1138_bus.txt
64,0.103563,0.00354362,0.100019,29,1138_bus.txt
64,0.109704,0.00355649,0.106148,28,1138_bus.txt
64,0.107842,0.00355506,0.104287,23,1138_bus.txt
64,0.111638,0.00394225,0.107696,26,1138_bus.txt
64,0.109924,0.0047071,0.105217,29,1138_bus.txt
64,0.111267,0.00468326,0.106584,27,1138_bus.txt
64,0.110279,0.0100436,0.100235,29,1138_bus.txt
64,0.385167,0.0038116,0.381356,26,1138_bus.txt
64,0.0987222,0.00345206,0.0952702,28,1138_bus.txt
1,4.17171,0.0608642,4.11084,38,facebook_combined.txt
1,4.11515,0.0602663,4.05488,41,facebook_combined.txt
1,4.07125,0.0576451,4.0136,36,facebook_combined.txt
2,1.667,0.0566747,1.61032,37,facebook_combined.txt
2,1.64587,0.0565734,1.5893,31,facebook_combined.txt
2,1.65945,0.0569255,1.60253,35,facebook_combined.txt
2,1.66133,0.0584958,1.60284,40,facebook_combined.txt
2,1.67966,0.0563459,1.62331,33,facebook_combined.txt
2,1.68839,0.0603516,1.62804,36,facebook_combined.txt
2,1.66929,0.058203,1.61109,33,facebook_combined.txt
2,1.69939,0.0580971,1.64129,31,facebook_combined.txt
2,1.67904,0.0584173,1.62063,34,facebook_combined.txt
2,1.67985,0.0575407,1.62231,33,facebook_combined.txt
4,0.714652,0.0562081,0.658443,32,facebook_combined.txt
4,0.736388,0.0593891,0.676999,31,facebook_combined.txt
4,0.718981,0.059072,0.659909,32,facebook_combined.txt
4,0.733499,0.0584388,0.67506,35,facebook_combined.txt
4,0.731628,0.059454,0.672174,30,facebook_combined.txt
4,0.740636,0.0602665,0.680369,37,facebook_combined.txt
4,0.713087,0.0565355,0.656551,37,facebook_combined.txt
4,0.705883,0.0562849,0.649598,35,facebook_combined.txt
4,0.69906,0.0558927,0.643168,32,facebook_combined.txt
4,0.743457,0.0590963,0.684361,34,facebook_combined.txt
8,0.38421,0.0607893,0.32342,39,facebook_combined.txt
8,0.383752,0.0601628,0.323589,35,facebook_combined.txt
8,0.392076,0.061079,0.330997,37,facebook_combined.txt
8,0.383119,0.0621915,0.320928,39,facebook_combined.txt
8,0.380267,0.0577002,0.322567,34,facebook_combined.txt
8,0.396939,0.0606246,0.336314,30,facebook_combined.txt
8,0.394405,0.0610085,0.333397,39,facebook_combined.txt
8,0.395046,0.0594699,0.335576,34,facebook_combined.txt
8,0.395952,0.056958,0.338995,35,facebook_combined.txt
8,0.399101,0.0616252,0.337476,37,facebook_combined.txt
16,0.305627,0.0685406,0.237087,34,facebook_combined.txt
16,0.305062,0.0589044,0.246157,29,facebook_combined.txt
16,0.305502,0.0608528,0.244649,30,facebook_combined.txt
16,0.309856,0.0594013,0.250455,34,facebook_combined.txt
16,0.312963,0.0578299,0.255133,30,facebook_combined.txt
16,0.291299,0.0587711,0.232527,33,facebook_combined.txt
16,0.302454,0.0589178,0.243537,31,facebook_combined.txt
16,0.28712,0.059479,0.227641,34,facebook_combined.txt
16,0.28661,0.0603855,0.226224,27,facebook_combined.txt
16,0.289497,0.0578308,0.231666,36,facebook_combined.txt
32,0.321021,0.0598416,0.26118,32,facebook_combined.txt
32,0.298226,0.0601273,0.238098,32,facebook_combined.txt
32,0.313895,0.0592024,0.254693,38,facebook_combined.txt
32,0.297992,0.0595098,0.238482,28,facebook_combined.txt
32,0.317694,0.0608492,0.256845,32,facebook_combined.txt
32,0.301857,0.0617158,0.240142,25,facebook_combined.txt
32,0.300474,0.0619996,0.238474,33,facebook_combined.txt
32,0.303495,0.0619445,0.241551,31,facebook_combined.txt
32,0.309137,0.0632327,0.245904,33,facebook_combined.txt
32,0.30039,0.0589852,0.241405,35,facebook_combined.txt
64,0.472302,0.0767868,0.395515,36,facebook_combined.txt
64,0.425666,0.0670431,0.358623,33,facebook_combined.txt
64,0.458041,0.071265,0.386776,33,facebook_combined.txt
64,0.44269,0.073921,0.368769,35,facebook_combined.txt
64,0.444085,0.0680573,0.376028,39,facebook_combined.txt
64,0.422324,0.0652337,0.357091,32,facebook_combined.txt
64,0.441368,0.0733552,0.368013,32,facebook_combined.txt
64,0.421202,0.0682263,0.352976,34,facebook_combined.txt
64,0.42029,0.0685258,0.351764,34,facebook_combined.txt
64,0.485452,0.087091,0.398361,33,facebook_combined.txt
1,11.9629,0.0692701,11.8937,1223,Wiki-Vote.txt
1,11.2951,0.0660391,11.2291,1225,Wiki-Vote.txt
1,11.392,0.0686557,11.3234,1227,Wiki-Vote.txt
2,4.69273,0.0678387,4.6249,1220,Wiki-Vote.txt
2,4.72438,0.0662124,4.65816,1226,Wiki-Vote.txt
