size,totalTime,partitionTime,detectionTime,foundCommunities,fileName
16,0.299161,0.0618098,0.237351,39,facebook_combined.txt
16,0.304639,0.0684729,0.236166,35,facebook_combined.txt
16,0.291628,0.0628259,0.228802,32,facebook_combined.txt
16,0.294187,0.0630441,0.231143,29,facebook_combined.txt
16,0.30448,0.0639553,0.240524,34,facebook_combined.txt
32,0.304924,0.0660691,0.238854,29,facebook_combined.txt
32,0.315207,0.0672135,0.247993,32,facebook_combined.txt
32,0.307121,0.0651445,0.241976,30,facebook_combined.txt
32,0.313947,0.0673983,0.246549,31,facebook_combined.txt
32,0.307201,0.0625086,0.244693,34,facebook_combined.txt
64,8.64499,0.0696206,8.57537,35,facebook_combined.txt
64,3.89426,0.155202,3.73906,37,facebook_combined.txt
64,0.957172,0.0738761,0.883296,38,facebook_combined.txt
64,13.4367,0.141595,13.2951,32,facebook_combined.txt
64,2.68376,0.0683026,2.61546,35,facebook_combined.txt
1,13.0283,0.0792375,12.949,1224,Wiki-Vote.txt
1,12.4923,0.0815144,12.4108,1227,Wiki-Vote.txt
1,12.9603,0.0753717,12.8849,1226,Wiki-Vote.txt
1,12.7471,0.0768025,12.6702,1232,Wiki-Vote.txt
1,12.7478,0.0765204,12.6713,1224,Wiki-Vote.txt
2,5.34829,0.0794601,5.26883,1222,Wiki-Vote.txt
2,5.40175,0.0766289,5.32512,1227,Wiki-Vote.txt
2,5.59166,0.0750432,5.51662,1226,Wiki-Vote.txt
2,5.15442,0.0731227,5.08129,1225,Wiki-Vote.txt
2,5.29816,0.0783384,5.21983,1225,Wiki-Vote.txt
4,1.96155,0.074297,1.88725,1229,Wiki-Vote.txt
4,2.20225,0.0774696,2.12478,1225,Wiki-Vote.txt
4,2.1269,0.0755589,2.05134,1226,Wiki-Vote.txt
4,1.97841,0.0762243,1.90219,1233,Wiki-Vote.txt
4,2.18711,0.0747581,2.11235,1227,Wiki-Vote.txt
8,0.967296,0.0761638,0.891132,1238,Wiki-Vote.txt
8,0.996365,0.0777647,0.9186,1234,Wiki-Vote.txt
8,1.17034,0.0810022,1.08933,1233,Wiki-Vote.txt
8,1.02383,0.0776265,0.946203,1238,Wiki-Vote.txt
8,1.06668,0.077204,0.989474,1230,Wiki-Vote.txt
16,0.772858,0.0748751,0.697983,1232,Wiki-Vote.txt
16,0.755497,0.0727448,0.682752,1227,Wiki-Vote.txt
16,0.831527,0.076405,0.755122,1235,Wiki-Vote.txt
16,0.718271,0.0745993,0.643672,1233,Wiki-Vote.txt
16,0.710343,0.0711443,0.639199,1227,Wiki-Vote.txt
32,0.804872,0.0842187,0.720653,1227,Wiki-Vote.txt
32,0.733494,0.0748775,0.658616,1235,Wiki-Vote.txt
32,0.689739,0.0745718,0.615167,1233,Wiki-Vote.txt
32,0.708339,0.0757291,0.63261,1237,Wiki-Vote.txt
32,0.81065,0.0792899,0.73136,1234,Wiki-Vote.txt
64,0.910191,0.139698,0.770493,1231,Wiki-Vote.txt
64,2.43725,0.0811405,2.35611,1241,Wiki-Vote.txt
64,2.21146,0.110224,2.10123,1235,Wiki-Vote.txt
64,3.27115,0.0800431,3.19111,1237,Wiki-Vote.txt
64,4.29194,0.0871503,4.20479,1233,Wiki-Vote.txt
1,1070.1,0.669455,1069.43,123,Slashdot0902.txt
1,1124.89,0.664957,1124.22,119,Slashdot0902.txt
1,1116.44,0.690609,1115.75,131,Slashdot0902.txt
1,1140.65,0.662147,1139.98,142,Slashdot0902.txt
1,1061.61,0.669913,1060.94,132,Slashdot0902.txt
2,476.506,0.674373,475.832,118,Slashdot0902.txt
2,479.637,0.673747,478.963,130,Slashdot0902.txt
2,478.333,0.668969,477.664,116,Slashdot0902.txt
2,467.184,0.674042,466.51,121,Slashdot0902.txt
2,477.262,0.664382,476.598,124,Slashdot0902.txt
4,147.012,0.67657,146.336,156,Slashdot0902.txt
4,146.846,0.695523,146.151,146,Slashdot0902.txt
4,146.894,0.676743,146.217,144,Slashdot0902.txt
4,144.335,0.685502,143.649,136,Slashdot0902.txt
4,144.964,0.695446,144.268,152,Slashdot0902.txt
8,52.1744,0.682928,51.4915,155,Slashdot0902.txt
8,52.2529,0.675644,51.5773,165,Slashdot0902.txt
8,52.6502,0.681742,51.9685,164,Slashdot0902.txt
8,52.1756,0.675755,51.4999,157,Slashdot0902.txt
8,52.8594,0.676301,52.1831,166,Slashdot0902.txt
16,28.2913,0.67886,27.6124,155,Slashdot0902.txt
16,28.396,0.68344,27.7126,150,Slashdot0902.txt
16,28.3823,0.673913,27.7084,147,Slashdot0902.txt
16,28.2145,0.682918,27.5316,151,Slashdot0902.txt
16,28.4708,0.681982,27.7888,154,Slashdot0902.txt
32,23.8063,0.707017,23.0993,149,Slashdot0902.txt
32,23.5686,0.703442,22.8652,138,Slashdot0902.txt
32,23.6821,0.721195,22.9609,157,Slashdot0902.txt
32,23.6524,0.727165,22.9252,157,Slashdot0902.txt
32,23.8273,0.728915,23.0983,146,Slashdot0902.txt
64,32.5106,0.842779,31.6678,150,Slashdot0902.txt
64,31.7922,1.12437,30.6678,151,Slashdot0902.txt
64,34.3479,0.873935,33.474,153,Slashdot0902.txt
64,36.0155,0.873252,35.1423,148,Slashdot0902.txt
64,38.8964,0.911364,37.9851,155,Slashdot0902.txt
