size,totalTime,partitionTime,stepTime,detectionTime,foundCommunities,fileName
4,0.0426562,0.00658631,0,0.0360699,26,1138_bus.txt
4,0.0445845,0.00670695,0,0.0378776,24,1138_bus.txt
4,0.0411139,0.00481987,0,0.036294,24,1138_bus.txt
4,0.044652,0.0063889,0,0.0382631,23,1138_bus.txt
8,0.0426404,0.00524426,0,0.0373962,28,1138_bus.txt
8,0.0450418,0.00666976,0,0.038372,27,1138_bus.txt
8,0.0437505,0.00651789,0,0.0372326,27,1138_bus.txt
8,0.0461669,0.0102262,0,0.0359406,31,1138_bus.txt
8,0.0434997,0.00536966,0,0.03813,31,1138_bus.txt
8,0.0414577,0.00494123,0,0.0365164,26,1138_bus.txt
8,0.0422916,0.00680089,0,0.0354908,29,1138_bus.txt
8,0.0437624,0.00520325,0,0.0385592,24,1138_bus.txt
8,0.0423002,0.00559974,0,0.0367005,29,1138_bus.txt
8,0.0451183,0.0082581,0,0.0368602,26,1138_bus.txt
16,0.0481758,0.00686646,0,0.0413094,25,1138_bus.txt
16,0.0542898,0.00803113,0,0.0462587,30,1138_bus.txt
16,0.0533085,0.00830173,0,0.0450068,29,1138_bus.txt
16,0.0496905,0.00904608,0,0.0406444,27,1138_bus.txt
16,0.0497787,0.00607705,0,0.0437016,28,1138_bus.txt
16,0.0539684,0.0112383,0,0.0427301,29,1138_bus.txt
16,0.0540221,0.00874543,0,0.0452766,28,1138_bus.txt
16,0.0509584,0.0072341,0,0.0437243,28,1138_bus.txt
16,0.0505981,0.00662446,0,0.0439737,29,1138_bus.txt
16,0.0497713,0.00859094,0,0.0411804,27,1138_bus.txt
32,0.0631187,0.0070703,0,0.0560484,28,1138_bus.txt
32,0.0610087,0.00822806,0,0.0527806,28,1138_bus.txt
32,0.064136,0.00756526,0,0.0565708,27,1138_bus.txt
32,0.0613723,0.00815058,0,0.0532217,27,1138_bus.txt
32,0.0596116,0.00794625,0,0.0516653,26,1138_bus.txt
32,0.0701356,0.00909758,0,0.061038,28,1138_bus.txt
32,0.0639176,0.00761628,0,0.0563014,28,1138_bus.txt
32,0.0607626,0.00928116,0,0.0514815,27,1138_bus.txt
32,0.0603628,0.00710177,0,0.053261,27,1138_bus.txt
32,0.0612013,0.00942683,0,0.0517745,29,1138_bus.txt
64,2.98502,0.487388,0,2.49763,26,1138_bus.txt
64,0.247632,0.010216,0,0.237416,27,1138_bus.txt
64,0.121809,0.0153508,0,0.106458,25,1138_bus.txt
64,0.11739,0.027374,0,0.0900161,31,1138_bus.txt
64,2.37038,0.611952,0,1.75843,30,1138_bus.txt
64,0.881723,0.0123391,0,0.869384,28,1138_bus.txt
64,1.07905,0.0330524,0,1.04599,29,1138_bus.txt
64,1.01383,0.0175567,0,0.99627,27,1138_bus.txt
64,1.32171,0.528623,0,0.793087,30,1138_bus.txt
64,2.60797,0.573965,0,2.03401,30,1138_bus.txt
1,4.52878,0.065964,0,4.46282,35,facebook_combined.txt
1,4.52912,0.0665624,0,4.46256,38,facebook_combined.txt
